#;Grupo taxonômico;Ordem;Família;Espécie ou Subespécie;Nome avaliação anterior;Categoria em 2014;Sugestão de Categoria 2021;EW;CR;EN,;VU;RE;EX;Mesma Categoria de Ameaça 2014;Aumentou a Categoria de Ameaça;Reduziu a Categoria de Ameaça;Entrou em Categoria de Ameaça;Saiu da Categoria de Ameaça;Mantida a Categoria 2014  por não ter reavaliação ou validação
1324;Mamíferos;Didelphimorphia;Didelphidae;Marmosops paulensis;;Vulnerável (VU);Menos Preocupante (LC);;;;;;;;;;;X;
1325;Mamíferos;Didelphimorphia;Didelphidae;Thylamys macrurus;;Em Perigo (EN);Menos Preocupante (LC);;;;;;;;;;;X;
1326;Mamíferos;Didelphimorphia;Didelphidae;Thylamys velutinus;;Vulnerável (VU);Menos Preocupante (LC);;;;;;;;;;;X;
1327;Mamíferos;Perissodactyla;Tapiridae;Tapirus terrestris;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;
1328;Mamíferos;Pilosa;Bradypodidae;Bradypus torquatus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1329;Mamíferos;Pilosa;Myrmecophagidae;Myrmecophaga tridactyla;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1330;Mamíferos;Primates;Atelidae;Alouatta belzebul;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1331;Mamíferos;Primates;Atelidae;Alouatta discolor;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1332;Mamíferos;Primates;Atelidae;Alouatta guariba clamitans;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1333;Mamíferos;Primates;Atelidae;Alouatta guariba guariba;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
1334;Mamíferos;Primates;Atelidae;Alouatta ululata;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1335;Mamíferos;Primates;Atelidae;Ateles belzebuth;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1336;Mamíferos;Primates;Atelidae;Ateles chamek;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1337;Mamíferos;Primates;Atelidae;Ateles marginatus;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1338;Mamíferos;Primates;Atelidae;Brachyteles arachnoides;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1339;Mamíferos;Primates;Atelidae;Brachyteles hypoxanthus;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
1340;Mamíferos;Primates;Atelidae;Lagothrix lagothricha cana;Lagothrix cana cana;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1341;Mamíferos;Primates;Atelidae;Lagothrix lagothricha lagothricha;Lagothrix lagothricha;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1342;Mamíferos;Primates;Atelidae;Lagothrix lagothricha poeppigii;Lagothrix poeppigii;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1343;Mamíferos;Primates;Callitrichidae;Callithrix aurita;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1344;Mamíferos;Primates;Callitrichidae;Callithrix flaviceps;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1345;Mamíferos;Primates;Callitrichidae;Leontopithecus caissara;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1346;Mamíferos;Primates;Callitrichidae;Leontopithecus chrysomelas;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1347;Mamíferos;Primates;Callitrichidae;Leontopithecus chrysopygus;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1348;Mamíferos;Primates;Callitrichidae;Leontopithecus rosalia;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1349;Mamíferos;Primates;Callitrichidae;Mico rondoni;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1350;Mamíferos;Primates;Callitrichidae;Saguinus bicolor;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
1351;Mamíferos;Primates;Callitrichidae;Saguinus niger;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1352;Mamíferos;Primates;Cebidae;Cebus kaapori;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
1353;Mamíferos;Primates;Cebidae;Saimiri vanzolinii;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1354;Mamíferos;Primates;Cebidae;Sapajus cay;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1355;Mamíferos;Primates;Cebidae;Sapajus flavius;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1356;Mamíferos;Primates;Cebidae;Sapajus robustus;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1357;Mamíferos;Primates;Cebidae;Sapajus xanthosternos;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1358;Mamíferos;Primates;Pitheciidae;Cacajao hosomi;Cacajao hosomi;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1359;Mamíferos;Primates;Pitheciidae;Callicebus barbarabrownae;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
1360;Mamíferos;Primates;Pitheciidae;Callicebus coimbrai;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1361;Mamíferos;Primates;Pitheciidae;Callicebus melanochir;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1362;Mamíferos;Primates;Pitheciidae;Callicebus personatus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1363;Mamíferos;Primates;Pitheciidae;Chiropotes satanas;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
1364;Mamíferos;Primates;Pitheciidae;Chiropotes utahickae;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1365;Mamíferos;Rodentia;Caviidae;Cavia intermedia;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
1366;Mamíferos;Rodentia;Caviidae;Kerodon acrobata;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1367;Mamíferos;Rodentia;Caviidae;Kerodon rupestris;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1368;Mamíferos;Rodentia;Cricetidae;Akodon mystax;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1369;Mamíferos;Rodentia;Cricetidae;Cerradomys goytaca;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1370;Mamíferos;Rodentia;Cricetidae;Euryoryzomys lamia;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1371;Mamíferos;Rodentia;Cricetidae;Gyldenstolpia planaltensis;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1372;Mamíferos;Rodentia;Cricetidae;Juscelinomys candango;;Criticamente em Perigo (CR)(PEX);Criticamente em Perigo (CR)(PEX);;X;;;;;X;;;;;X
1373;Mamíferos;Rodentia;Cricetidae;Microakodontomys transitorius;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1374;Mamíferos;Rodentia;Cricetidae;Noronhomys vespuccii;;Extinta (EX);Extinta (EX);;;;;;X;X;;;;;X
1375;Mamíferos;Rodentia;Cricetidae;Oligoryzomys rupestris;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1376;Mamíferos;Rodentia;Cricetidae;Rhipidomys cariri;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1377;Mamíferos;Rodentia;Cricetidae;Rhipidomys tribei;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1378;Mamíferos;Rodentia;Cricetidae;Thalpomys cerradensis;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1379;Mamíferos;Rodentia;Cricetidae;Thalpomys lasiotis;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1380;Mamíferos;Rodentia;Cricetidae;Wilfredomys oenax;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1381;Mamíferos;Rodentia;Ctenomyidae;Ctenomys bicolor;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1382;Mamíferos;Rodentia;Ctenomyidae;Ctenomys flamarioni;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1383;Mamíferos;Rodentia;Ctenomyidae;Ctenomys lami;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1384;Mamíferos;Rodentia;Ctenomyidae;Ctenomys minutus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1385;Mamíferos;Rodentia;Echimyidae;Callistomys pictus;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1386;Mamíferos;Rodentia;Echimyidae;Phyllomys brasiliensis;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1387;Mamíferos;Rodentia;Echimyidae;Phyllomys lundi;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1388;Mamíferos;Rodentia;Echimyidae;Phyllomys thomasi;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1389;Mamíferos;Rodentia;Echimyidae;Phyllomys unicolor;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
1390;Mamíferos;Rodentia;Echimyidae;Trinomys eliasi;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1391;Mamíferos;Rodentia;Echimyidae;Trinomys mirapitanga;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1392;Mamíferos;Rodentia;Echimyidae;Trinomys moojeni;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1393;Mamíferos;Rodentia;Echimyidae;Trinomys yonenagae;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1394;Mamíferos;Rodentia;Erethizontidae;Chaetomys subspinosus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
1395;Mamíferos;Rodentia;Erethizontidae;Coendou speratus;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
1396;Mamíferos Aquáticos;Cetacea;Balaenidae;Eubalaena australis;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;
1397;Mamíferos Aquáticos;Cetacea;Balaenopteridae;Balaenoptera borealis;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;
1398;Mamíferos Aquáticos;Cetacea;Balaenopteridae;Balaenoptera musculus;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;
1399;Mamíferos Aquáticos;Cetacea;Balaenopteridae;Balaenoptera physalus;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;
1400;Mamíferos Aquáticos;Cetacea;Delphinidae;Sotalia guianensis;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;
1401;Mamíferos Aquáticos;Cetacea;Delphinidae;Tursiops gephyreus;;não avaliada 2014 ;Em Perigo (EN);;;X;;;;;;;X;;
1402;Mamíferos Aquáticos;Cetacea;Iniidae;Inia araguaiaensis;;;Vulnerável (VU);;;;X;;;;;;X;;
1403;Mamíferos Aquáticos;Cetacea;Iniidae;Inia geoffrensis;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;
1404;Mamíferos Aquáticos;Cetacea;Physeteridae;Physeter macrocephalus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;
1405;Mamíferos Aquáticos;Cetacea;Pontoporiidae;Pontoporia blainvillei;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;
1406;Mamíferos Aquáticos;Sirenia;Trichechidae;Trichechus inunguis;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;
1407;Mamíferos Aquáticos;Sirenia;Trichechidae;Trichechus manatus;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;
